gene_name	gene_id_clean	chromosome_clean	is_chrX	PAR_status	preferred_escape_class	atlas_gene_group	atlas_gene_group_display	chrom	start	end	strand	ensembl_gene_id	gene_symbol	biotype	par_source_gene_name	category	xci_status	PAR_region
EDA2R	ENSG00000131080	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	66595637	66639298	-	ENSG00000131080	EDA2R	protein_coding	EDA2R	Inactive	Inactive	nonPAR
ARHGEF9	ENSG00000131089	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	63634967	63809274	-	ENSG00000131089	ARHGEF9	protein_coding	ARHGEF9	Inactive	Inactive	nonPAR
SH3BGRL	ENSG00000131171	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	81202102	81298547	+	ENSG00000131171	SH3BGRL	protein_coding	SH3BGRL	Variable	Variable	nonPAR
COX7B	ENSG00000131174	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	77899440	77907376	+	ENSG00000131174	COX7B	protein_coding	COX7B	Variable	Variable	nonPAR
RLIM	ENSG00000131263	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	74582976	74614624	-	ENSG00000131263	RLIM	protein_coding	RLIM	Inactive	Inactive	nonPAR
CDX4	ENSG00000131264	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	73447053	73455171	+	ENSG00000131264	CDX4	protein_coding	CDX4	Unknown	Unknown	nonPAR
ABCB7	ENSG00000131269	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	75051048	75156732	-	ENSG00000131269	ABCB7	protein_coding	ABCB7	Inactive	Inactive	nonPAR
RHOXF2	ENSG00000131721	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	120158613	120165630	+	ENSG00000131721	RHOXF2	protein_coding	RHOXF2	Inactive	Inactive	nonPAR
IL13RA1	ENSG00000131724	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	118727133	118794535	+	ENSG00000131724	IL13RA1	protein_coding	IL13RA1	Inactive	Inactive	nonPAR
WDR44	ENSG00000131725	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	118346073	118449961	+	ENSG00000131725	WDR44	protein_coding	WDR44	Inactive	Inactive	nonPAR
PDHA1	ENSG00000131828	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	19343893	19361718	+	ENSG00000131828	PDHA1	protein_coding	PDHA1	Inactive	Inactive	nonPAR
RAI2	ENSG00000131831	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	17800049	17861337	-	ENSG00000131831	RAI2	protein_coding	RAI2	Inactive	Inactive	nonPAR
FTHL17	ENSG00000132446	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	31071233	31072041	-	ENSG00000132446	FTHL17	protein_coding	FTHL17	Unknown	Unknown	nonPAR
IRS4	ENSG00000133124	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	108719946	108736563	-	ENSG00000133124	IRS4	protein_coding	IRS4	Unknown	Unknown	nonPAR
MORC4	ENSG00000133131	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	106813871	107000212	-	ENSG00000133131	MORC4	protein_coding	MORC4	Inactive	Inactive	nonPAR
BEX2	ENSG00000133134	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	103309346	103311007	-	ENSG00000133134	BEX2	protein_coding	BEX2	Inactive	Inactive	nonPAR
RNF128	ENSG00000133135	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	106693794	106797016	+	ENSG00000133135	RNF128	protein_coding	RNF128	Unknown	Unknown	nonPAR
GNG5B	ENSG00000133136	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	110346103	110440372	-	ENSG00000133136	GNG5B	protein_coding	GNG5P2	Unknown	Unknown	nonPAR
TBC1D8B	ENSG00000133138	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	106802673	106876150	+	ENSG00000133138	TBC1D8B	protein_coding	TBC1D8B	Inactive	Inactive	nonPAR
TCEAL4	ENSG00000133142	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	103576231	103587729	+	ENSG00000133142	TCEAL4	protein_coding	TCEAL4	Inactive	Inactive	nonPAR
BEX1	ENSG00000133169	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	103062651	103064171	-	ENSG00000133169	BEX1	protein_coding	BEX1	Unknown	Unknown	nonPAR
USP26	ENSG00000134588	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	133023168	133097109	-	ENSG00000134588	USP26	protein_coding	USP26	Unknown	Unknown	nonPAR
RTL8C	ENSG00000134590	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	135032355	135033546	+	ENSG00000134590	RTL8C	protein_coding	FAM127A	Inactive	Inactive	nonPAR
RAB33A	ENSG00000134594	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	130171962	130184870	+	ENSG00000134594	RAB33A	protein_coding	RAB33A	Inactive	Inactive	nonPAR
SOX3	ENSG00000134595	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	140502985	140505069	-	ENSG00000134595	SOX3	protein_coding	SOX3	Unknown	Unknown	nonPAR
RBMX2	ENSG00000134597	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	130401987	130413656	+	ENSG00000134597	RBMX2	protein_coding	RBMX2	Inactive	Inactive	nonPAR
STK26	ENSG00000134602	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	132023302	132075943	+	ENSG00000134602	STK26	protein_coding	MST4	Inactive	Inactive	nonPAR
NLGN4X	ENSG00000146938	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	5840637	6228867	-	ENSG00000146938	NLGN4X	protein_coding	NLGN4X	Variable	Variable	nonPAR
SHROOM2	ENSG00000146950	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	9786429	9949443	+	ENSG00000146950	SHROOM2	protein_coding	SHROOM2	Variable	Variable	nonPAR
CLTRN	ENSG00000147003	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	15627318	15675012	-	ENSG00000147003	CLTRN	protein_coding	TMEM27	Escape	Escape	nonPAR
SH3KBP1	ENSG00000147010	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	19533977	19887600	-	ENSG00000147010	SH3KBP1	protein_coding	SH3KBP1	Inactive	Inactive	nonPAR
TMEM47	ENSG00000147027	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	34627075	34657285	-	ENSG00000147027	TMEM47	protein_coding	TMEM47	Unknown	Unknown	nonPAR
LANCL3	ENSG00000147036	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	37571569	37684463	+	ENSG00000147036	LANCL3	protein_coding	LANCL3	Variable	Variable	nonPAR
SYTL5	ENSG00000147041	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	38006553	38128819	+	ENSG00000147041	SYTL5	protein_coding	SYTL5	Inactive	Inactive	nonPAR
CASK	ENSG00000147044	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	41514934	41923554	-	ENSG00000147044	CASK	protein_coding	CASK	Inactive	Inactive	nonPAR
KDM6A	ENSG00000147050	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	KDM6A	Escape	Escape	nonPAR
SPIN2A	ENSG00000147059	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	57134530	57137523	-	ENSG00000147059	SPIN2A	protein_coding	SPIN2A	Inactive	Inactive	nonPAR
MSN	ENSG00000147065	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	65588377	65741931	+	ENSG00000147065	MSN	protein_coding	MSN	Inactive	Inactive	nonPAR
AKAP4	ENSG00000147081	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	50190777	50201007	-	ENSG00000147081	AKAP4	protein_coding	AKAP4	Inactive	Inactive	nonPAR
CCNB3	ENSG00000147082	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	50202713	50351914	+	ENSG00000147082	CCNB3	protein_coding	CCNB3	Inactive	Inactive	nonPAR
HDAC8	ENSG00000147099	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	72329516	72573101	-	ENSG00000147099	HDAC8	protein_coding	HDAC8	Inactive	Inactive	nonPAR
SLC16A2	ENSG00000147100	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	74421493	74533917	+	ENSG00000147100	SLC16A2	protein_coding	SLC16A2	Inactive	Inactive	nonPAR
DIPK2B	ENSG00000147113	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	45148373	45200901	-	ENSG00000147113	DIPK2B	protein_coding	CXorf36	Inactive	Inactive	nonPAR
ZNF157	ENSG00000147117	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	47370578	47414498	+	ENSG00000147117	ZNF157	protein_coding	ZNF157	Variable	Variable	nonPAR
ZNF182	ENSG00000147118	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	47974851	48003989	-	ENSG00000147118	ZNF182	protein_coding	ZNF182	Inactive	Inactive	nonPAR
CHST7	ENSG00000147119	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	46573765	46598496	+	ENSG00000147119	CHST7	protein_coding	CHST7	Inactive	Inactive	nonPAR
KRBOX4	ENSG00000147121	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	46447292	46497422	+	ENSG00000147121	KRBOX4	protein_coding	KRBOX4	Inactive	Inactive	nonPAR
NDUFB11	ENSG00000147123	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	47142071	47145466	-	ENSG00000147123	NDUFB11	protein_coding	NDUFB11	Inactive	Inactive	nonPAR
ZNF41	ENSG00000147124	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	47445178	47483222	-	ENSG00000147124	ZNF41	protein_coding	ZNF41	Inactive	Inactive	nonPAR
RAB41	ENSG00000147127	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	70282093	70285002	+	ENSG00000147127	RAB41	protein_coding	RAB41	Inactive	Inactive	nonPAR
ZMYM3	ENSG00000147130	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71239624	71255146	-	ENSG00000147130	ZMYM3	protein_coding	ZMYM3	Inactive	Inactive	nonPAR
TAF1	ENSG00000147133	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71366222	71532374	+	ENSG00000147133	TAF1	protein_coding	TAF1	Inactive	Inactive	nonPAR
GPR174	ENSG00000147138	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	79144688	79175318	+	ENSG00000147138	GPR174	protein_coding	GPR174	Variable	Variable	nonPAR
NONO	ENSG00000147140	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71254814	71301522	+	ENSG00000147140	NONO	protein_coding	NONO	Inactive	Inactive	nonPAR
CCDC120	ENSG00000147144	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	49053572	49069857	+	ENSG00000147144	CCDC120	protein_coding	CCDC120	Inactive	Inactive	nonPAR
LPAR4	ENSG00000147145	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	78747709	78758714	+	ENSG00000147145	LPAR4	protein_coding	LPAR4	Inactive	Inactive	nonPAR
EBP	ENSG00000147155	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	48521799	48528716	+	ENSG00000147155	EBP	protein_coding	EBP	Unknown	Unknown	nonPAR
AWAT2	ENSG00000147160	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	70040542	70049938	-	ENSG00000147160	AWAT2	protein_coding	AWAT2	Unknown	Unknown	nonPAR
OGT	ENSG00000147162	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71533087	71575892	+	ENSG00000147162	OGT	protein_coding	OGT	Inactive	Inactive	nonPAR
SNX12	ENSG00000147164	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71056332	71073426	-	ENSG00000147164	SNX12	protein_coding	SNX12	Inactive	Inactive	nonPAR
ITGB1BP2	ENSG00000147166	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71301750	71305371	+	ENSG00000147166	ITGB1BP2	protein_coding	ITGB1BP2	Inactive	Inactive	nonPAR
IL2RG	ENSG00000147168	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	71107404	71112108	-	ENSG00000147168	IL2RG	protein_coding	IL2RG	Unknown	Unknown	nonPAR
GCNA	ENSG00000147174	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	71578437	71613583	+	ENSG00000147174	GCNA	protein_coding	ACRC	Inactive	Inactive	nonPAR
ZNF711	ENSG00000147180	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	85243991	85273362	+	ENSG00000147180	ZNF711	protein_coding	ZNF711	Variable	Variable	nonPAR
CPXCR1	ENSG00000147183	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	88747225	88754785	+	ENSG00000147183	CPXCR1	protein_coding	CPXCR1	Escape	Escape	nonPAR
DIAPH2	ENSG00000147202	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	96684712	97604997	+	ENSG00000147202	DIAPH2	protein_coding	DIAPH2	Inactive	Inactive	nonPAR
NXF3	ENSG00000147206	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	103075810	103093143	-	ENSG00000147206	NXF3	protein_coding	NXF3	Variable	Variable	nonPAR
RIPPLY1	ENSG00000147223	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	106900063	106903341	-	ENSG00000147223	RIPPLY1	protein_coding	RIPPLY1	Inactive	Inactive	nonPAR
PRPS1	ENSG00000147224	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	107628428	107651993	+	ENSG00000147224	PRPS1	protein_coding	PRPS1	Inactive	Inactive	nonPAR
RADX	ENSG00000147231	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	106611930	106679439	+	ENSG00000147231	RADX	protein_coding	CXorf57	Inactive	Inactive	nonPAR
FRMPD3	ENSG00000147234	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	107449652	107605255	+	ENSG00000147234	FRMPD3	protein_coding	FRMPD3	Variable	Variable	nonPAR
HTR2C	ENSG00000147246	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	114584078	114910061	+	ENSG00000147246	HTR2C	protein_coding	HTR2C	Escape	Escape	nonPAR
DOCK11	ENSG00000147251	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	118495815	118686163	+	ENSG00000147251	DOCK11	protein_coding	DOCK11	Inactive	Inactive	nonPAR
IGSF1	ENSG00000147255	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	131273506	131578899	-	ENSG00000147255	IGSF1	protein_coding	IGSF1	Inactive	Inactive	nonPAR
ARHGAP36	ENSG00000147256	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	131058346	131089885	+	ENSG00000147256	ARHGAP36	protein_coding	ARHGAP36	Inactive	Inactive	nonPAR
GPC3	ENSG00000147257	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	133535745	133987100	-	ENSG00000147257	GPC3	protein_coding	GPC3	Inactive	Inactive	nonPAR
GPR119	ENSG00000147262	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	130379449	130385674	-	ENSG00000147262	GPR119	protein_coding	GPR119	Unknown	Unknown	nonPAR
RBMX	ENSG00000147274	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	136848004	136880764	-	ENSG00000147274	RBMX	protein_coding	RBMX	Inactive	Inactive	nonPAR
FATE1	ENSG00000147378	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	151716035	151723194	+	ENSG00000147378	FATE1	protein_coding	FATE1	Unknown	Unknown	nonPAR
MAGEA4	ENSG00000147381	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	151912495	151925171	+	ENSG00000147381	MAGEA4	protein_coding	MAGEA4	Escape	Escape	nonPAR
NSDHL	ENSG00000147383	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	152830967	152869729	+	ENSG00000147383	NSDHL	protein_coding	NSDHL	Inactive	Inactive	nonPAR
ZNF185	ENSG00000147394	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	152898067	152973481	+	ENSG00000147394	ZNF185	protein_coding	ZNF185	Inactive	Inactive	nonPAR
CETN2	ENSG00000147400	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	152826994	152830757	-	ENSG00000147400	CETN2	protein_coding	CETN2	Inactive	Inactive	nonPAR
RPL10	ENSG00000147403	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154389955	154409168	+	ENSG00000147403	RPL10	protein_coding	RPL10	Inactive	Inactive	nonPAR
CNKSR2	ENSG00000149970	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	21372801	21654695	+	ENSG00000149970	CNKSR2	protein_coding	CNKSR2	Variable	Variable	nonPAR
TGIF2LX	ENSG00000153779	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	89921908	89922883	+	ENSG00000153779	TGIF2LX	protein_coding	TGIF2LX	Unknown	Unknown	nonPAR
MAGED4	ENSG00000154545	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	52184876	52192268	+	ENSG00000154545	MAGED4	protein_coding	MAGED4,MAGED4B	Unknown	Unknown	nonPAR
APOOL	ENSG00000155008	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	85003877	85093315	+	ENSG00000155008	APOOL	protein_coding	APOOL	Inactive	Inactive	nonPAR
MAGEC1	ENSG00000155495	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	141903894	141909374	+	ENSG00000155495	MAGEC1	protein_coding	MAGEC1	Unknown	Unknown	nonPAR
XAGE2	ENSG00000155622	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	52369021	52375680	+	ENSG00000155622	XAGE2	protein_coding	XAGE2,XAGE2B	Unknown	Unknown	nonPAR
VSIG4	ENSG00000155659	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	66021738	66040125	-	ENSG00000155659	VSIG4	protein_coding	VSIG4	Variable	Variable	nonPAR
VBP1	ENSG00000155959	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	155197007	155239841	+	ENSG00000155959	VBP1	protein_coding	VBP1	Inactive	Inactive	nonPAR
RAB39B	ENSG00000155961	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	155258235	155264491	-	ENSG00000155961	RAB39B	protein_coding	RAB39B	Inactive	Inactive	nonPAR
CLIC2	ENSG00000155962	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	155276211	155334657	-	ENSG00000155962	CLIC2	protein_coding	CLIC2	Inactive	Inactive	nonPAR
AFF2	ENSG00000155966	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	148500617	149000663	+	ENSG00000155966	AFF2	protein_coding	AFF2	Variable	Variable	nonPAR
MAGEA8	ENSG00000156009	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	149881141	149885835	+	ENSG00000156009	MAGEA8	protein_coding	MAGEA8	Variable	Variable	nonPAR
TSPAN7	ENSG00000156298	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	38561542	38688920	+	ENSG00000156298	TSPAN7	protein_coding	TM4SF2,TSPAN7	Inactive,Unknown	Inactive	nonPAR
RPGR	ENSG00000156313	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	38269163	38327544	-	ENSG00000156313	RPGR	protein_coding	RPGR	Inactive	Inactive	nonPAR
PABIR3	ENSG00000156500	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	134796395	134854835	+	ENSG00000156500	PABIR3	protein_coding	FAM122C	Inactive	Inactive	nonPAR
PABIR2	ENSG00000156504	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	134769566	134797232	-	ENSG00000156504	PABIR2	protein_coding	FAM122B	Variable	Variable	nonPAR
PHF6	ENSG00000156531	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	134373288	134428791	+	ENSG00000156531	PHF6	protein_coding	PHF6	Inactive	Inactive	nonPAR
UTP14A	ENSG00000156697	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	129906121	129929761	+	ENSG00000156697	UTP14A	protein_coding	UTP14A	Inactive	Inactive	nonPAR
AIFM1	ENSG00000156709	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	130124666	130165879	-	ENSG00000156709	AIFM1	protein_coding	AIFM1	Inactive	Inactive	nonPAR
ADGRG4	ENSG00000156920	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	136300963	136416890	+	ENSG00000156920	ADGRG4	protein_coding	GPR112	Escape	Escape	nonPAR
ZIC3	ENSG00000156925	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	137566127	137577691	+	ENSG00000156925	ZIC3	protein_coding	ZIC3	Unknown	Unknown	nonPAR
ARSL	ENSG00000157399	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	2934045	2968475	-	ENSG00000157399	ARSL	protein_coding	ARSE	Escape	Escape	nonPAR
PWWP3B	ENSG00000157502	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	106168305	106208956	+	ENSG00000157502	PWWP3B	protein_coding	MUM1L1	Inactive	Inactive	nonPAR
TSC22D3	ENSG00000157514	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	107713221	107777342	-	ENSG00000157514	TSC22D3	protein_coding	TSC22D3	Inactive	Inactive	nonPAR
TMEM164	ENSG00000157600	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	110002631	110182734	+	ENSG00000157600	TMEM164	protein_coding	TMEM164	Inactive	Inactive	nonPAR
TAB3	ENSG00000157625	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	30827442	30975084	-	ENSG00000157625	TAB3	protein_coding	TAB3	Inactive	Inactive	nonPAR
TMSB15A	ENSG00000158164	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	102513682	102516739	-	ENSG00000158164	TMSB15A	protein_coding	TMSB15A	Inactive	Inactive	nonPAR
CUL4B	ENSG00000158290	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	120505920	120604074	-	ENSG00000158290	CUL4B	protein_coding	CUL4B	Inactive	Inactive	nonPAR
GPRASP2	ENSG00000158301	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	102712445	102717733	+	ENSG00000158301	GPRASP2	protein_coding	GPRASP2	Inactive	Inactive	nonPAR
SHROOM4	ENSG00000158352	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	50586796	50814302	-	ENSG00000158352	SHROOM4	protein_coding	SHROOM4	Inactive	Inactive	nonPAR
RIBC1	ENSG00000158423	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	53422690	53431120	+	ENSG00000158423	RIBC1	protein_coding	RIBC1	Escape	Escape	nonPAR
TMSB15B	ENSG00000158427	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	103918896	103966712	+	ENSG00000158427	TMSB15B	protein_coding	TMSB15B	Inactive	Inactive	nonPAR
TSR2	ENSG00000158526	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	54440404	54448032	+	ENSG00000158526	TSR2	protein_coding	TSR2	Inactive	Inactive	nonPAR
PFKFB1	ENSG00000158571	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	54932961	54998534	-	ENSG00000158571	PFKFB1	protein_coding	PFKFB1	Inactive	Inactive	nonPAR
ALAS2	ENSG00000158578	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	55009055	55030977	-	ENSG00000158578	ALAS2	protein_coding	ALAS2	Inactive	Inactive	nonPAR
PAGE5	ENSG00000158639	X	True	nonPAR	nonPAR_uncertain	nonPAR_uncertain	Unknown	chrX	55220346	55224108	+	ENSG00000158639	PAGE5	protein_coding	PAGE5	Unknown	Unknown	nonPAR
EDA	ENSG00000158813	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	69616067	70039472	+	ENSG00000158813	EDA	protein_coding	EDA	Inactive	Inactive	nonPAR
VMA21	ENSG00000160131	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	151396515	151409364	+	ENSG00000160131	VMA21	protein_coding	VMA21	Inactive	Inactive	nonPAR
G6PD	ENSG00000160211	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154517825	154547572	-	ENSG00000160211	G6PD	protein_coding	G6PD	Inactive	Inactive	nonPAR
GAB3	ENSG00000160219	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	154675249	154751583	-	ENSG00000160219	GAB3	protein_coding	GAB3	Inactive	Inactive	nonPAR
CYBB	ENSG00000165168	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	37780018	37813461	+	ENSG00000165168	CYBB	protein_coding	CYBB	Inactive	Inactive	nonPAR
DYNLT3	ENSG00000165169	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	37836757	37847571	-	ENSG00000165169	DYNLT3	protein_coding	DYNLT3	Inactive	Inactive	nonPAR
MID1IP1	ENSG00000165175	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	38801440	38806537	+	ENSG00000165175	MID1IP1	protein_coding	MID1IP1	Inactive	Inactive	nonPAR
CXorf58	ENSG00000165182	X	True	nonPAR	nonPAR_subject	nonPAR_subject	Inactive	chrX	23908006	23939509	+	ENSG00000165182	CXorf58	protein_coding	CXorf58	Inactive	Inactive	nonPAR
PTCHD1	ENSG00000165186	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	23334849	23404374	+	ENSG00000165186	PTCHD1	protein_coding	PTCHD1	Variable	Variable	nonPAR
ASB11	ENSG00000165192	X	True	nonPAR	nonPAR_variable_escape	nonPAR_variable_escape	Variable	chrX	15281697	15315640	-	ENSG00000165192	ASB11	protein_coding	ASB11	Variable	Variable	nonPAR
PCDH19	ENSG00000165194	X	True	nonPAR	nonPAR_escape	nonPAR_escape	Escape	chrX	100291644	100410273	-	ENSG00000165194	PCDH19	protein_coding	PCDH19	Escape	Escape	nonPAR
